year,species,percent
180,abiebals,0.00
180,acerrubr,91.45
180,acersacc,0.00
180,betualle,0.00
180,betupapy,0.00
180,fraxamer,0.00
180,piceglau,0.00
180,pinubank,0.00
180,pinuresi,0.00
180,pinustro,0.00
180,poputrem,0.00
180,querelli,0.00
180,querrubr,8.55
180,thujocci,0.00
180,tiliamer,0.00
180,tsugcana,0.00
190,abiebals,0.00
190,acerrubr,91.19
190,acersacc,0.00
190,betualle,0.00
190,betupapy,0.00
190,fraxamer,0.00
190,piceglau,0.00
190,pinubank,0.00
190,pinuresi,0.00
190,pinustro,0.00
190,poputrem,0.00
190,querelli,0.00
190,querrubr,8.81
190,thujocci,0.00
190,tiliamer,0.00
190,tsugcana,0.00
200,abiebals,0.00
200,acerrubr,83.10
200,acersacc,0.00
200,betualle,0.00
200,betupapy,0.00
200,fraxamer,0.00
200,piceglau,0.00
200,pinubank,0.00
200,pinuresi,0.00
200,pinustro,0.00
200,poputrem,0.00
200,querelli,0.00
200,querrubr,16.90
200,thujocci,0.00
200,tiliamer,0.00
200,tsugcana,0.00
210,abiebals,0.00
210,acerrubr,80.81
210,acersacc,0.00
210,betualle,0.00
210,betupapy,0.00
210,fraxamer,0.00
210,piceglau,0.00
210,pinubank,0.00
210,pinuresi,0.00
210,pinustro,0.00
210,poputrem,0.00
210,querelli,0.00
210,querrubr,19.19
210,thujocci,0.00
210,tiliamer,0.00
210,tsugcana,0.00
220,abiebals,0.00
220,acerrubr,92.76
220,acersacc,0.00
220,betualle,0.00
220,betupapy,0.00
220,fraxamer,0.00
220,piceglau,0.00
220,pinubank,0.00
220,pinuresi,0.00
220,pinustro,0.00
220,poputrem,0.00
220,querelli,0.00
220,querrubr,7.24
220,thujocci,0.00
220,tiliamer,0.00
220,tsugcana,0.00
230,abiebals,0.00
230,acerrubr,80.08
230,acersacc,0.00
230,betualle,0.00
230,betupapy,0.00
230,fraxamer,0.00
230,piceglau,0.00
230,pinubank,0.00
230,pinuresi,0.00
230,pinustro,0.00
230,poputrem,0.00
230,querelli,0.00
230,querrubr,19.92
230,thujocci,0.00
230,tiliamer,0.00
230,tsugcana,0.00
240,abiebals,0.00
240,acerrubr,91.30
240,acersacc,0.00
240,betualle,0.00
240,betupapy,0.00
240,fraxamer,0.00
240,piceglau,0.00
240,pinubank,0.00
240,pinuresi,0.00
240,pinustro,0.00
240,poputrem,0.00
240,querelli,0.00
240,querrubr,8.70
240,thujocci,0.00
240,tiliamer,0.00
240,tsugcana,0.00
250,abiebals,0.00
250,acerrubr,57.61
250,acersacc,0.00
250,betualle,0.00
250,betupapy,0.00
250,fraxamer,0.00
250,piceglau,0.00
250,pinubank,0.00
250,pinuresi,0.00
250,pinustro,0.00
250,poputrem,0.00
250,querelli,0.00
250,querrubr,42.39
250,thujocci,0.00
250,tiliamer,0.00
250,tsugcana,0.00
260,abiebals,0.00
260,acerrubr,33.67
260,acersacc,0.00
260,betualle,0.00
260,betupapy,0.00
260,fraxamer,0.00
260,piceglau,0.00
260,pinubank,0.00
260,pinuresi,0.00
260,pinustro,0.00
260,poputrem,0.00
260,querelli,0.00
260,querrubr,66.33
260,thujocci,0.00
260,tiliamer,0.00
260,tsugcana,0.00
270,abiebals,0.00
270,acerrubr,53.69
270,acersacc,0.00
270,betualle,0.00
270,betupapy,0.00
270,fraxamer,0.00
270,piceglau,0.00
270,pinubank,0.00
270,pinuresi,0.00
270,pinustro,0.00
270,poputrem,0.00
270,querelli,0.00
270,querrubr,46.31
270,thujocci,0.00
270,tiliamer,0.00
270,tsugcana,0.00
280,abiebals,0.00
280,acerrubr,51.14
280,acersacc,0.00
280,betualle,0.00
280,betupapy,0.00
280,fraxamer,0.00
280,piceglau,0.00
280,pinubank,0.00
280,pinuresi,0.00
280,pinustro,0.00
280,poputrem,0.00
280,querelli,0.00
280,querrubr,48.86
280,thujocci,0.00
280,tiliamer,0.00
280,tsugcana,0.00
290,abiebals,0.00
290,acerrubr,31.87
290,acersacc,0.00
290,betualle,0.00
290,betupapy,0.00
290,fraxamer,0.00
290,piceglau,0.00
290,pinubank,0.00
290,pinuresi,0.00
290,pinustro,0.00
290,poputrem,0.00
290,querelli,0.00
290,querrubr,68.13
290,thujocci,0.00
290,tiliamer,0.00
290,tsugcana,0.00
300,abiebals,0.00
300,acerrubr,12.77
300,acersacc,0.00
300,betualle,0.00
300,betupapy,0.00
300,fraxamer,0.00
300,piceglau,0.00
300,pinubank,0.00
300,pinuresi,0.00
300,pinustro,0.00
300,poputrem,0.00
300,querelli,0.00
300,querrubr,87.23
300,thujocci,0.00
300,tiliamer,0.00
300,tsugcana,0.00
